freq1,val1,note1,freq2,val2,note2,freq3,val3,note3,freq4,val4,note4,freq5,val5,note5,freq6,val6,note6,freq7,val7,note7,freq8,val8,note8,freq9,val9,note9,freq10,val10,note10,freq11,val11,note11,freq12,val12,note12,freq13,val13,note13,freq14,val14,note14,freq15,val15,note15,freq16,val16,note16,freq17,val17,note17,freq18,val18,note18,freq19,val19,note19,freq20,val20,note20,freq21,val21,note21,freq22,val22,note22,freq23,val23,note23,freq24,val24,note24,amount,actual,couple,actual2
393.0,0.453175,12.0,393.0,0.453175,12.0,400.0,0.151325,12.0,404.0,0.281378,1.0,407.0,0.230057,1.0,411.0,0.171031,1.0,491.0,0.271041,4.0,498.0,0.131594,4.0,795.0,0.121057,12.0,809.0,0.21576,1.0,813.0,0.2447,1.0,817.0,0.34121,1.0,821.0,0.269848,1.0,824.0,0.131404,1.0,828.0,0.113626,1.0,835.0,0.104239,1.0,916.0,0.124562,3.0,934.0,0.189699,3.0,954.0,0.285629,4.0,959.0,0.596105,4.0,973.0,0.910647,4.0,977.0,0.238658,4.0,985.0,0.303125,4.0,990.0,0.673955,4.0,24.0,5.0,1.0,3.0
549.0,0.238877,6.0,527.0,0.113316,5.0,530.0,0.100947,5.0,549.0,0.238877,6.0,1035.0,0.163913,5.0,1042.0,0.108492,5.0,1057.0,0.250038,5.0,1094.0,0.123686,6.0,1642.0,0.521821,1.0,2208.0,0.145094,6.0,2242.0,0.136629,6.0,2247.0,0.1606,6.0,2252.0,0.13573,6.0,4391.0,0.178788,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,5.0,1.0,6.0
597.0,0.228768,7.0,538.0,0.180009,6.0,597.0,0.228768,7.0,1075.0,0.13816,6.0,1082.0,0.104368,6.0,1193.0,0.469736,7.0,1210.0,0.334648,8.0,1217.0,0.239244,8.0,1222.0,0.133938,8.0,1602.0,0.106671,1.0,1621.0,0.240472,1.0,1634.0,0.310602,1.0,1644.0,0.138922,1.0,1782.0,0.157474,2.0,1790.0,0.326945,2.0,1795.0,0.22342,2.0,1797.0,0.191755,2.0,1807.0,0.233246,3.0,1814.0,0.13639,3.0,1823.0,0.170965,3.0,1828.0,0.140827,3.0,1832.0,0.134782,3.0,1836.0,0.122255,3.0,2126.0,0.188196,5.0,24.0,8.0,1.0,6.0
581.0,0.421457,7.0,581.0,0.421457,7.0,587.0,0.110084,7.0,592.0,0.148543,7.0,634.0,0.136695,8.0,637.0,0.126518,9.0,653.0,0.305996,9.0,666.0,0.220937,9.0,1145.0,0.417853,7.0,1160.0,0.820501,7.0,1175.0,0.38609,7.0,1181.0,0.126584,7.0,1186.0,0.273418,7.0,1191.0,0.154279,7.0,1201.0,0.109695,8.0,1211.0,0.152597,8.0,1271.0,0.109383,8.0,1286.0,0.137834,9.0,1289.0,0.142154,9.0,1320.0,0.188335,9.0,1333.0,0.124451,9.0,1724.0,0.546526,2.0,1740.0,0.839145,2.0,1753.0,0.974989,2.0,24.0,8.0,1.0,10.0
675.0,0.202524,10.0,641.0,0.115099,9.0,675.0,0.202524,10.0,756.0,0.874106,12.0,763.0,0.13842,12.0,1346.0,0.157986,9.0,1511.0,0.176734,11.0,1513.0,0.234256,12.0,1518.0,0.192311,12.0,1527.0,0.155879,12.0,1540.0,0.114805,12.0,2002.0,0.189583,4.0,2018.0,0.769404,5.0,2029.0,0.607642,5.0,2084.0,0.103345,5.0,2261.0,0.116984,6.0,2675.0,0.118349,9.0,2689.0,0.105652,9.0,2704.0,0.208041,10.0,3379.0,0.100431,1.0,4020.0,0.119941,4.0,4047.0,0.139658,5.0,4705.0,0.138766,7.0,4723.0,0.143086,7.0,24.0,12.0,1.0,10.0
643.0,0.197872,9.0,643.0,0.197872,9.0,659.0,0.155046,9.0,1283.0,0.10002,9.0,1293.0,0.156261,9.0,1296.0,0.112779,9.0,1298.0,0.15576,9.0,1301.0,0.283872,9.0,1308.0,0.155045,9.0,1319.0,0.215632,9.0,1322.0,0.12899,9.0,1328.0,0.1486,9.0,1331.0,0.168963,9.0,1335.0,0.148425,9.0,1343.0,0.102727,9.0,1535.0,0.123797,12.0,1910.0,0.153519,4.0,1920.0,0.295836,4.0,1925.0,0.342703,4.0,1936.0,0.305522,4.0,1942.0,0.410705,4.0,1952.0,0.173034,4.0,1962.0,0.546228,4.0,1971.0,0.262557,4.0,24.0,1.0,1.0,10.0
434.0,0.230731,2.0,434.0,0.230731,2.0,600.0,0.262102,8.0,612.0,0.141762,8.0,618.0,0.115292,8.0,630.0,0.116031,8.0,836.0,0.10145,1.0,858.0,0.339397,2.0,868.0,0.264955,2.0,875.0,0.364139,2.0,888.0,0.14029,2.0,1170.0,0.179025,7.0,1182.0,0.490379,7.0,1194.0,0.611957,7.0,1210.0,0.388013,8.0,1218.0,0.498747,8.0,1222.0,0.487178,8.0,1226.0,0.458883,8.0,1229.0,0.4737,8.0,1233.0,0.189895,8.0,1240.0,0.131024,8.0,1245.0,0.156775,8.0,1248.0,0.213059,8.0,1252.0,0.12025,8.0,24.0,8.0,1.0,3.0
656.0,0.342187,9.0,640.0,0.181146,9.0,656.0,0.342187,9.0,669.0,0.142906,9.0,986.0,0.147355,4.0,1006.0,0.34532,4.0,1298.0,0.12894,9.0,1314.0,0.150953,9.0,1326.0,0.111518,9.0,1335.0,0.104036,9.0,1509.0,0.15914,11.0,1520.0,0.100392,12.0,1926.0,0.107678,4.0,1942.0,0.509009,4.0,1951.0,0.497995,4.0,2004.0,0.317483,4.0,2013.0,0.245371,4.0,2018.0,0.282341,5.0,2024.0,0.174896,5.0,2033.0,0.117957,5.0,2038.0,0.101137,5.0,2628.0,0.357186,9.0,2643.0,0.408511,9.0,4592.0,0.126386,7.0,24.0,4.0,1.0,10.0
548.0,0.131967,6.0,548.0,0.131967,6.0,729.0,0.150321,11.0,741.0,0.355016,11.0,747.0,0.221288,11.0,752.0,0.155271,11.0,758.0,0.400081,12.0,763.0,0.213621,12.0,1087.0,0.157823,6.0,1516.0,0.10619,12.0,1521.0,0.12759,12.0,1532.0,0.123993,12.0,1590.0,0.112345,12.0,1612.0,0.145685,1.0,1636.0,0.146133,1.0,1650.0,0.318564,1.0,1686.0,0.118548,1.0,1720.0,0.246185,2.0,2099.0,0.192796,5.0,2114.0,0.170246,5.0,2136.0,0.211005,5.0,2156.0,0.363059,6.0,2171.0,0.358563,6.0,2187.0,0.421838,6.0,24.0,12.0,1.0,6.0
385.0,0.172833,12.0,385.0,0.172833,12.0,608.0,0.204587,8.0,614.0,0.112518,8.0,1143.0,0.19062,7.0,1160.0,0.172075,7.0,1176.0,0.225902,7.0,1181.0,0.128412,7.0,1193.0,0.374882,7.0,1198.0,0.21789,7.0,1203.0,0.107838,8.0,1216.0,0.463744,8.0,1220.0,0.781279,8.0,1224.0,0.953775,8.0,1229.0,0.214376,8.0,1234.0,0.420371,8.0,1244.0,0.152814,8.0,1255.0,0.116036,8.0,1258.0,0.111801,8.0,1269.0,0.1011,8.0,1518.0,0.14356,12.0,1545.0,0.204713,12.0,1559.0,0.279129,12.0,1566.0,0.168867,12.0,24.0,1.0,1.0,8.0
404.0,0.195819,1.0,404.0,0.195819,1.0,663.0,0.146078,9.0,807.0,0.186556,1.0,809.0,0.143068,1.0,822.0,0.224616,1.0,1187.0,0.21017,7.0,1201.0,0.103245,8.0,1207.0,0.138637,8.0,1214.0,0.113926,8.0,1223.0,0.249163,8.0,1237.0,0.1609,8.0,1251.0,0.115029,8.0,1321.0,0.168512,9.0,1590.0,0.17748,12.0,1624.0,0.120106,1.0,1641.0,0.227804,1.0,1654.0,0.144631,1.0,1967.0,0.786363,4.0,1983.0,0.874185,4.0,1997.0,0.640386,4.0,1999.0,0.613926,4.0,2015.0,0.667682,4.0,2021.0,0.300601,5.0,24.0,1.0,1.0,10.0
533.0,0.359146,5.0,533.0,0.359146,5.0,550.0,0.136441,6.0,699.0,0.294529,10.0,705.0,0.211715,10.0,711.0,0.189219,10.0,729.0,0.103519,11.0,834.0,0.105631,1.0,997.0,0.147576,4.0,1001.0,0.12056,4.0,1032.0,0.178825,5.0,1050.0,0.57961,5.0,1066.0,0.749625,5.0,1082.0,0.580346,6.0,1098.0,0.142513,6.0,1409.0,0.115082,10.0,1422.0,0.130601,10.0,1492.0,0.11933,11.0,1496.0,0.140003,11.0,1499.0,0.175787,11.0,1502.0,0.241274,11.0,1505.0,0.284563,11.0,1528.0,0.254049,12.0,1532.0,0.220539,12.0,24.0,12.0,1.0,8.0
397.0,0.445505,12.0,392.0,0.342669,12.0,395.0,0.432523,12.0,397.0,0.445505,12.0,399.0,0.260475,12.0,791.0,0.365923,12.0,794.0,0.225803,12.0,800.0,0.179849,12.0,802.0,0.162687,1.0,1172.0,0.40959,7.0,1174.0,0.134727,7.0,1181.0,0.544747,7.0,1183.0,0.710756,7.0,1188.0,0.419349,7.0,1190.0,0.287496,7.0,1194.0,0.208091,7.0,1197.0,0.906622,7.0,1204.0,0.375483,8.0,1211.0,0.15828,8.0,1546.0,0.192031,12.0,1552.0,0.344073,12.0,1554.0,0.221963,12.0,1559.0,0.376066,12.0,1564.0,0.434173,12.0,24.0,1.0,0.0,0.0
449.0,0.710244,2.0,449.0,0.710244,2.0,452.0,0.185213,3.0,462.0,0.204133,3.0,464.0,0.151213,3.0,866.0,0.120036,2.0,879.0,0.19104,2.0,890.0,0.190284,2.0,896.0,0.345987,2.0,898.0,0.969269,2.0,901.0,0.791314,3.0,903.0,0.536471,3.0,907.0,0.549374,3.0,909.0,0.835816,3.0,911.0,0.58311,3.0,926.0,0.392328,3.0,937.0,0.145516,3.0,940.0,0.24287,3.0,942.0,0.235529,3.0,1326.0,0.260593,9.0,1332.0,0.247927,9.0,1339.0,0.510437,9.0,1343.0,0.224344,9.0,1345.0,0.47671,9.0,24.0,3.0,0.0,0.0
500.0,0.50305,4.0,500.0,0.50305,4.0,504.0,0.167684,4.0,506.0,0.126195,5.0,878.0,0.105192,2.0,886.0,0.112716,2.0,890.0,0.100038,2.0,894.0,0.116043,2.0,898.0,0.102265,2.0,945.0,0.102223,3.0,962.0,0.101672,4.0,965.0,0.223718,4.0,968.0,0.158356,4.0,980.0,0.207726,4.0,982.0,0.543861,4.0,985.0,0.895937,4.0,994.0,0.28065,4.0,997.0,0.400729,4.0,1006.0,0.871691,4.0,1008.0,0.749055,4.0,1011.0,0.205574,5.0,1013.0,0.204485,5.0,1017.0,0.290133,5.0,1019.0,0.165863,5.0,24.0,5.0,0.0,0.0
531.0,0.335361,5.0,526.0,0.141274,5.0,529.0,0.297978,5.0,531.0,0.335361,5.0,534.0,0.153114,5.0,1052.0,0.315246,5.0,1055.0,0.237816,5.0,1063.0,0.483307,5.0,1065.0,0.167165,5.0,1069.0,0.104491,6.0,1076.0,0.120953,6.0,1542.0,0.159671,12.0,1545.0,0.110349,12.0,1563.0,0.166471,12.0,1565.0,0.212557,12.0,1576.0,0.203065,12.0,1581.0,0.502122,12.0,1593.0,0.611101,12.0,1597.0,0.177045,12.0,1607.0,0.30919,1.0,1619.0,0.162956,1.0,2052.0,0.240937,5.0,2072.0,0.177332,5.0,2074.0,0.17893,5.0,24.0,6.0,0.0,0.0
592.0,0.419788,7.0,588.0,0.306198,7.0,590.0,0.164942,7.0,592.0,0.419788,7.0,594.0,0.351137,7.0,596.0,0.137893,7.0,1169.0,0.189907,7.0,1173.0,0.79103,7.0,1179.0,0.101973,7.0,1181.0,0.393636,7.0,1183.0,0.322047,7.0,1185.0,0.231317,7.0,1188.0,0.231376,7.0,1191.0,0.346599,7.0,1193.0,0.189785,7.0,1196.0,0.233286,7.0,1198.0,0.163312,7.0,1207.0,0.226737,8.0,1210.0,0.288945,8.0,1212.0,0.302249,8.0,1214.0,0.142945,8.0,1740.0,0.118121,2.0,1745.0,0.19149,2.0,1759.0,0.782302,2.0,24.0,8.0,0.0,0.0
2.0,0.868137,0.0,2.0,0.868137,0.0,10.0,0.141921,0.0,14.0,0.181896,0.0,20.0,0.204384,0.0,32.0,0.105343,0.0,40.0,0.226109,0.0,60.0,0.117764,0.0,85.0,0.107981,0.0,88.0,0.172393,0.0,101.0,0.151651,1.0,117.0,0.133798,3.0,128.0,0.22543,5.0,144.0,0.676697,7.0,148.0,0.156535,7.0,151.0,0.180527,8.0,169.0,0.218538,10.0,173.0,0.161108,10.0,191.0,0.251132,12.0,199.0,0.221065,12.0,209.0,0.152724,1.0,212.0,0.124338,1.0,256.0,0.223508,5.0,275.0,0.149148,6.0,24.0,0.0,0.0,0.0
